80001,Jefferson
80002,Jefferson
80003,Jefferson
80004,Jefferson
80005,Jefferson
80006,Jefferson
80007,Jefferson
80010,Arapahoe
80011,Adams
80012,Arapahoe
80013,Arapahoe
80014,Arapahoe
80015,Arapahoe
80016,Arapahoe
80017,Arapahoe
80018,Arapahoe
80019,Adams
80020,Broomfield
80021,Jefferson
80022,Adams
80024,Adams
80025,Boulder
80026,Boulder
80027,Boulder
80028,Boulder
80030,Adams
80031,Adams
80033,Jefferson
80034,Jefferson
80035,Adams
80036,Adams
80037,Adams
80038,Broomfield
80040,Adams
80041,Arapahoe
80042,Adams
80044,Arapahoe
80045,Adams
80046,Arapahoe
80047,Arapahoe
80101,Elbert
80102,Adams
80103,Arapahoe
80104,Douglas
80105,Arapahoe
80106,El Paso
80107,Elbert
80108,Douglas
80109,Douglas
80110,Arapahoe
80111,Arapahoe
80112,Arapahoe
80113,Arapahoe
80116,Douglas
80117,Elbert
80118,Douglas
80120,Arapahoe
80121,Arapahoe
80122,Arapahoe
80123,Jefferson
80124,Douglas
80125,Douglas
80126,Douglas
80127,Jefferson
80128,Jefferson
80129,Douglas
80130,Douglas
80131,Douglas
80132,El Paso
80133,El Paso
80134,Douglas
80135,Douglas
80136,Adams
80137,Adams
80138,Douglas
80150,Arapahoe
80151,Arapahoe
80155,Arapahoe
80160,Arapahoe
80161,Arapahoe
80162,Jefferson
80163,Douglas
80165,Arapahoe
80166,Arapahoe
80201,Denver
80202,Denver
80203,Denver
80204,Denver
80205,Denver
80206,Denver
80207,Denver
80208,Denver
80209,Denver
80210,Denver
80211,Denver
80212,Denver
80214,Jefferson
80215,Jefferson
80216,Denver
80217,Denver
80218,Denver
80219,Denver
80220,Denver
80221,Adams
80222,Denver
80223,Denver
80224,Denver
80225,Jefferson
80226,Jefferson
80227,Jefferson
80228,Jefferson
80229,Adams
80230,Denver
80231,Denver
80232,Jefferson
80233,Adams
80234,Adams
80235,Jefferson
80236,Denver
80237,Denver
80238,Denver
80239,Denver
80241,Adams
80243,Denver
80244,Denver
80246,Denver
80247,Arapahoe
80248,Denver
80249,Denver
80250,Denver
80251,Denver
80252,Denver
80256,Denver
80257,Denver
80259,Denver
80260,Adams
80261,Denver
80262,Denver
80263,Denver
80264,Denver
80265,Denver
80266,Denver
80271,Denver
80273,Denver
80274,Denver
80279,Denver
80280,Denver
80281,Denver
80290,Denver
80291,Denver
80293,Denver
80294,Denver
80295,Denver
80299,Denver
80301,Boulder
80302,Boulder
80303,Boulder
80304,Boulder
80305,Boulder
80306,Boulder
80307,Boulder
80308,Boulder
80309,Boulder
80310,Boulder
80314,Boulder
80321,Boulder
80322,Boulder
80323,Boulder
80328,Boulder
80329,Boulder
80401,Jefferson
80402,Jefferson
80403,Jefferson
80419,Jefferson
80420,Park
80421,Park
80422,Gilpin
80423,Eagle
80424,Summit
80425,Jefferson
80426,Eagle
80427,Gilpin
80428,Routt
80429,Lake
80430,Jackson
80432,Park
80433,Jefferson
80434,Jackson
80435,Summit
80436,Clear Creek
80437,Jefferson
80438,Clear Creek
80439,Jefferson
80440,Park
80442,Grand
80443,Summit
80444,Clear Creek
80446,Grand
80447,Grand
80448,Park
80449,Park
80451,Grand
80452,Clear Creek
80453,Jefferson
80454,Jefferson
80455,Boulder
80456,Park
80457,Jefferson
80459,Grand
80461,Lake
80463,Eagle
80465,Jefferson
80466,Boulder
80467,Routt
80468,Grand
80469,Routt
80470,Jefferson
80471,Boulder
80473,Jackson
80474,Gilpin
80475,Park
80476,Clear Creek
80477,Routt
80478,Grand
80479,Routt
80480,Jackson
80481,Boulder
80482,Grand
80483,Routt
80487,Routt
80488,Routt
80497,Summit
80498,Summit
80501,Boulder
80502,Boulder
80503,Boulder
80504,Weld
80510,Boulder
80511,Larimer
80512,Larimer
80513,Larimer
80514,Weld
80515,Larimer
80516,Boulder
80517,Larimer
80520,Weld
80521,Larimer
80522,Larimer
80523,Larimer
80524,Larimer
80525,Larimer
80526,Larimer
80527,Larimer
80528,Larimer
80530,Weld
80532,Larimer
80533,Boulder
80534,Weld
80535,Larimer
80536,Larimer
80537,Larimer
80538,Larimer
80539,Larimer
80540,Boulder
80541,Larimer
80542,Weld
80543,Weld
80544,Boulder
80545,Larimer
80546,Weld
80547,Larimer
80549,Larimer
80550,Weld
80551,Weld
80553,Larimer
80601,Adams
80602,Adams
80603,Weld
80610,Weld
80611,Weld
80612,Weld
80614,Adams
80615,Weld
80620,Weld
80621,Weld
80622,Weld
80623,Weld
80624,Weld
80631,Weld
80632,Weld
80633,Weld
80634,Weld
80638,Weld
80639,Weld
80640,Adams
80642,Weld
80643,Weld
80644,Weld
80645,Weld
80646,Weld
80648,Weld
80649,Morgan
80650,Weld
80651,Weld
80652,Weld
80653,Morgan
80654,Morgan
80701,Morgan
80705,Morgan
80720,Washington
80721,Phillips
80722,Logan
80723,Morgan
80726,Logan
80727,Yuma
80728,Logan
80729,Weld
80731,Phillips
80732,Weld
80733,Morgan
80734,Phillips
80735,Yuma
80736,Logan
80737,Sedgwick
80740,Washington
80741,Logan
80742,Weld
80743,Washington
80744,Sedgwick
80745,Logan
80746,Phillips
80747,Logan
80749,Sedgwick
80750,Morgan
80751,Logan
80754,Weld
80755,Yuma
80757,Washington
80758,Yuma
80759,Yuma
80801,Washington
80802,Cheyenne
80804,Lincoln
80805,Kit Carson
80807,Kit Carson
80808,El Paso
80809,El Paso
80810,Cheyenne
80812,Washington
80813,Teller
80814,Teller
80815,Kit Carson
80816,Teller
80817,El Paso
80818,Lincoln
80819,El Paso
80820,Park
80821,Lincoln
80822,Yuma
80823,Lincoln
80824,Yuma
80825,Cheyenne
80826,Lincoln
80827,Park
80828,Lincoln
80829,El Paso
80830,Elbert
80831,El Paso
80832,El Paso
80833,El Paso
80834,Kit Carson
80835,Elbert
80836,Kit Carson
80840,El Paso
80841,El Paso
80860,Teller
80861,Kit Carson
80862,Cheyenne
80863,Teller
80864,El Paso
80866,Teller
80901,El Paso
80903,El Paso
80904,El Paso
80905,El Paso
80906,El Paso
80907,El Paso
80908,El Paso
80909,El Paso
80910,El Paso
80911,El Paso
80912,El Paso
80913,El Paso
80914,El Paso
80915,El Paso
80916,El Paso
80917,El Paso
80918,El Paso
80919,El Paso
80920,El Paso
80921,El Paso
80922,El Paso
80923,El Paso
80924,El Paso
80925,El Paso
80926,El Paso
80927,El Paso
80928,El Paso
80929,El Paso
80930,El Paso
80931,El Paso
80932,El Paso
80933,El Paso
80934,El Paso
80935,El Paso
80936,El Paso
80937,El Paso
80938,El Paso
80939,El Paso
80940,El Paso
80941,El Paso
80942,El Paso
80943,El Paso
80944,El Paso
80945,El Paso
80946,El Paso
80947,El Paso
80949,El Paso
80950,El Paso
80951,El Paso
80960,El Paso
80962,El Paso
80970,El Paso
80977,El Paso
80995,El Paso
80997,El Paso
81001,Pueblo
81002,Pueblo
81003,Pueblo
81004,Pueblo
81005,Pueblo
81006,Pueblo
81007,Pueblo
81008,Pueblo
81009,Pueblo
81010,Pueblo
81011,Pueblo
81012,Pueblo
81019,Pueblo
81020,Las Animas
81021,Kiowa
81022,Pueblo
81023,Pueblo
81024,Las Animas
81025,Pueblo
81027,Las Animas
81029,Baca
81030,Otero
81033,Crowley
81034,Crowley
81036,Kiowa
81038,Bent
81039,Otero
81040,Huerfano
81041,Prowers
81043,Prowers
81044,Bent
81045,Kiowa
81046,Las Animas
81047,Prowers
81049,Las Animas
81050,Otero
81052,Prowers
81054,Bent
81055,Huerfano
81057,Bent
81058,Otero
81059,Las Animas
81062,Crowley
81063,Crowley
81064,Baca
81067,Otero
81069,Pueblo
81071,Kiowa
81073,Baca
81076,Crowley
81077,Otero
81081,Las Animas
81082,Las Animas
81084,Baca
81087,Baca
81089,Huerfano
81090,Baca
81091,Las Animas
81092,Prowers
81101,Alamosa
81102,Alamosa
81120,Conejos
81121,Archuleta
81122,La Plata
81123,Costilla
81124,Conejos
81125,Rio Grande
81126,Costilla
81127,Archuleta
81128,Archuleta
81129,Conejos
81130,Mineral
81131,Saguache
81132,Rio Grande
81133,Costilla
81134,Costilla
81135,Rio Grande
81136,Alamosa
81137,La Plata
81138,Costilla
81140,Conejos
81141,Conejos
81143,Saguache
81144,Rio Grande
81146,Alamosa
81147,Archuleta
81148,Conejos
81149,Saguache
81151,Conejos
81152,Costilla
81153,Costilla
81154,Rio Grande
81155,Saguache
81157,Archuleta
81201,Chaffee
81210,Gunnison
81211,Chaffee
81212,Fremont
81215,Fremont
81220,Montrose
81221,Fremont
81222,Fremont
81223,Fremont
81224,Gunnison
81225,Gunnison
81226,Fremont
81227,Chaffee
81228,Chaffee
81230,Gunnison
81231,Gunnison
81232,Fremont
81233,Fremont
81235,Hinsdale
81236,Chaffee
81237,Gunnison
81239,Gunnison
81240,Fremont
81241,Gunnison
81242,Chaffee
81243,Gunnison
81244,Fremont
81247,Gunnison
81248,Saguache
81251,Lake
81252,Custer
81253,Custer
81290,Fremont
81301,La Plata
81302,La Plata
81303,La Plata
81320,Dolores
81321,Montezuma
81323,Montezuma
81324,Dolores
81325,San Miguel
81326,La Plata
81327,Montezuma
81328,Montezuma
81329,La Plata
81330,Montezuma
81331,Montezuma
81332,Dolores
81334,Montezuma
81335,Montezuma
81401,Montrose
81402,Montrose
81410,Delta
81411,Montrose
81413,Delta
81414,Delta
81415,Delta
81416,Delta
81418,Delta
81419,Delta
81420,Delta
81422,Montrose
81423,San Miguel
81424,Montrose
81425,Montrose
81426,San Miguel
81427,Ouray
81428,Delta
81429,Montrose
81430,San Miguel
81431,Montrose
81432,Ouray
81433,San Juan
81434,Gunnison
81435,San Miguel
81501,Mesa
81502,Mesa
81503,Mesa
81504,Mesa
81505,Mesa
81506,Mesa
81520,Mesa
81521,Mesa
81522,Mesa
81523,Mesa
81524,Mesa
81525,Mesa
81526,Mesa
81527,Mesa
81601,Garfield
81602,Garfield
81610,Moffat
81611,Pitkin
81612,Pitkin
81615,Pitkin
81620,Eagle
81621,Eagle
81623,Garfield
81624,Mesa
81625,Moffat
81626,Moffat
81630,Mesa
81631,Eagle
81632,Eagle
81633,Moffat
81635,Garfield
81636,Garfield
81637,Eagle
81638,Moffat
81639,Routt
81640,Moffat
81641,Rio Blanco
81642,Pitkin
81643,Mesa
81645,Eagle
81646,Mesa
81647,Garfield
81648,Rio Blanco
81649,Eagle
81650,Garfield
81652,Garfield
81653,Moffat
81654,Pitkin
81655,Eagle
81656,Pitkin
81657,Eagle
81658,Eagle
